source,target,type,stage,weight
PROC_379,수능,REQUIRES,1,70.0
PROC_380,수능,REQUIRES,1,100.0
PROC_381,수능,REQUIRES,1,100.0
PROC_382,수능,REQUIRES,1,100.0
PROC_383,수능,REQUIRES,1,100.0
PROC_384,수능,REQUIRES,1,100.0
PROC_385,수능,REQUIRES,1,100.0
PROC_386,수능,REQUIRES,1,100.0
PROC_387,수능,REQUIRES,1,100.0
PROC_388,수능,REQUIRES,1,100.0
PROC_389,수능,REQUIRES,1,100.0
PROC_390,수능,REQUIRES,1,100.0
PROC_391,수능,REQUIRES,1,100.0
PROC_392,수능,REQUIRES,1,100.0
PROC_393,수능,REQUIRES,1,100.0
PROC_394,수능,REQUIRES,1,100.0
PROC_395,수능,REQUIRES,1,100.0
PROC_396,수능,REQUIRES,1,100.0
PROC_397,수능,REQUIRES,1,100.0
PROC_398,수능,REQUIRES,1,100.0
PROC_399,수능,REQUIRES,1,100.0
PROC_400,수능,REQUIRES,1,100.0
PROC_401,수능,REQUIRES,1,100.0
PROC_402,수능,REQUIRES,1,100.0
PROC_403,수능,REQUIRES,1,100.0
PROC_404,수능,REQUIRES,1,100.0
PROC_405,수능,REQUIRES,1,100.0
PROC_406,수능,REQUIRES,1,100.0
PROC_407,수능,REQUIRES,1,100.0
PROC_408,수능,REQUIRES,1,100.0
PROC_409,수능,REQUIRES,1,100.0
PROC_410,수능,REQUIRES,1,100.0
PROC_411,수능,REQUIRES,1,100.0
PROC_412,수능,REQUIRES,1,100.0
PROC_413,수능,REQUIRES,1,100.0
PROC_414,수능,REQUIRES,1,100.0
PROC_415,수능,REQUIRES,1,100.0
PROC_416,수능,REQUIRES,1,100.0
PROC_417,수능,REQUIRES,1,100.0
PROC_418,수능,REQUIRES,1,100.0
PROC_419,수능,REQUIRES,1,100.0
PROC_420,수능,REQUIRES,1,100.0
PROC_421,수능,REQUIRES,1,100.0
PROC_422,수능,REQUIRES,1,100.0
PROC_423,수능,REQUIRES,1,100.0
PROC_424,수능,REQUIRES,1,100.0
PROC_425,수능,REQUIRES,1,100.0
PROC_426,수능,REQUIRES,1,100.0
PROC_427,수능,REQUIRES,1,100.0
PROC_428,수능,REQUIRES,1,100.0
PROC_429,수능,REQUIRES,1,100.0
PROC_430,수능,REQUIRES,1,100.0
PROC_431,수능,REQUIRES,1,100.0
PROC_432,수능,REQUIRES,1,100.0
PROC_433,수능,REQUIRES,1,100.0
PROC_434,수능,REQUIRES,1,100.0
PROC_435,수능,REQUIRES,1,100.0
PROC_436,수능,REQUIRES,1,100.0
PROC_437,수능,REQUIRES,1,100.0
PROC_438,수능,REQUIRES,1,100.0
PROC_439,수능,REQUIRES,1,100.0
PROC_440,수능,REQUIRES,1,100.0
